scenario_id,timestamp,alpha_legit,alpha_legit_std,kurtosis_legit,kurtosis_legit_std,hurst_legit,hurst_legit_std,alpha_anom,alpha_anom_std,kurtosis_anom,kurtosis_anom_std,hurst_anom,hurst_anom_std,c0,c1,N,domain_size,scenario,n_seeds,ambient,delta_alpha,delta_kurtosis,delta_hurst,rho,sqrt_rho,sigma_c_mean,sigma_c_std,sigma_c_lo,sigma_c_hi,theta_c_mean,theta_c_std,theta_c_lo,theta_c_hi,status,error_msg
0,2025-11-13T17:32:40.729205,3.2889041758057758,0.23547334587229757,6.477696824961063,1.8212105278837625,0.5583434935912674,0.11586438797670538,2.6909376176688538,0.7666567228336678,17.90738790922368,3.4438472984347306,0.5193662817781907,0.05281757640267633,0.09109174836791127,0.10739496222540208,562,75,RingSwarm,50,0.75,0.597966558136922,11.429691084262616,0.038977211813076784,0.09991111111111112,0.31608718909679195,0.36769999999999997,0.06407581447004791,0.353,0.647,0.11622525943089039,0.020253544084924992,0.11157877775116755,0.2045084113456244,completed,
2,2025-11-13T18:08:09.303603,2.8433828420317298,0.4715803412561091,7.9430628541291055,0.5761299610702632,0.5510045047851171,0.11219331725291372,3.7789704874568555,0.642572634369099,4.155322825807923,3.583670065516418,0.7552957815858542,0.1469592446412762,0.5467191328892405,0.18768405398433635,562,75,RingSwarm,50,0.75,0.9355876454251257,3.787740028321182,0.2042912768007371,0.09991111111111112,0.31608718909679195,0.3559399999999999,0.029252630650934624,0.353,0.353,0.11250807408711211,0.009246381796140585,0.11157877775116755,0.11157877775116755,completed,
4,2025-11-13T18:43:38.854578,3.914164336897847,0.45251751056485656,4.806322436022468,0.8875418797058561,0.5969989582229257,0.07869520268289423,1.8240346778037053,0.3430820013711008,9.93315014047998,1.357124944195394,0.7513967135553291,0.10792705197646497,0.31616610038197523,0.11991961087184438,562,75,RingSwarm,50,0.75,2.0901296590941416,5.1268277044575115,0.1543977553324034,0.09991111111111112,0.31608718909679195,0.3559399999999999,0.02925263065093463,0.353,0.353,0.11250807408711211,0.009246381796140587,0.11157877775116755,0.11157877775116755,completed,
6,2025-11-13T19:19:09.541715,2.7439091517074647,0.43389194256706926,3.0473316877928425,1.9661524910789945,0.5535032369325799,0.08462981194048139,3.2095470522248064,0.22796441554990673,19.083938374079334,1.9463328514173246,0.4537286391197669,0.12656873217765147,0.27730200612839123,0.1115035850887523,562,75,RingSwarm,50,0.75,0.46563790051734166,16.036606686286493,0.09977459781281295,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
8,2025-11-13T19:54:41.624052,3.278776173503397,0.34570493651726975,6.977878726604729,0.6885735428636305,0.5891448882820989,0.06569049666792882,2.6983802789772593,0.2940472293911571,18.862972473119143,2.917451073789116,0.7617240001109741,0.12086020622347905,0.5262542244087519,0.359656610098831,562,75,RingSwarm,50,0.75,0.5803958945261378,11.885093746514414,0.1725791118288752,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
10,2025-11-13T20:30:13.744104,3.6540533666766475,0.6098111516067746,3.0687460825403003,0.9177130877904958,0.43031590635936584,0.11977194438064345,2.4357432136148818,0.21737519311703418,18.47219918742902,3.2858487154408373,0.8276563372682251,0.11546492141475845,0.25444572600210147,0.15059056024210704,562,75,RingSwarm,50,0.75,1.2183101530617657,15.403453104888719,0.39734043090885923,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
12,2025-11-13T21:05:45.245921,2.646731444428709,0.5372565207259163,6.676508985942319,2.065939771483073,0.6902464209456594,0.04927151215739119,2.7166781962215403,0.5575461072567293,19.19233650583989,2.215053371051609,0.7348974904603706,0.07662033407533034,0.5033201282600336,0.21841720869633235,562,75,RingSwarm,50,0.75,0.06994675179283139,12.51582751989757,0.044651069514711206,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
14,2025-11-13T21:41:15.738335,2.8696024688339166,0.6477505255509951,7.5056427840114255,1.5827587053083996,0.6323335570970553,0.08526507124330904,3.633195849357267,0.3450273229969385,17.407498293642504,2.766392407790008,0.4349813600039921,0.055277361918332914,0.36996598424490856,0.0912430370752173,562,75,RingSwarm,50,0.75,0.7635933805233504,9.90185550963108,0.19735219709306318,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
16,2025-11-13T22:16:47.003367,2.442854215092472,0.6608902298848256,7.7717016861033645,0.6817792078306927,0.6636196149329914,0.09460093846732487,1.714414098256442,0.31349706281682044,11.217215651162844,2.056827702127359,0.6583602791005598,0.1445269533802529,0.1649858802382892,0.2042367602058226,562,75,RingSwarm,50,0.75,0.7284401168360299,3.4455139650594795,0.005259335832431544,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
18,2025-11-13T22:52:19.605958,2.542184412471695,0.6629025925244585,7.889160051644029,1.1610159428790263,0.43191005874194566,0.045281049945626255,1.518827270401051,0.5364866796034924,7.682737763209062,3.7352273506668054,0.7966206987934683,0.09980547073608692,0.5604869324802638,0.43921791510499114,562,75,RingSwarm,50,0.75,1.0233571420706438,0.20642228843496735,0.36471064005152265,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
20,2025-11-13T23:27:52.591508,3.463826099751949,0.2573822019084842,4.061159061546747,0.5830024496966711,0.40505726040895434,0.11866507276337343,3.691724176928405,0.4203516630338485,12.493144893846166,3.397288296679674,0.6962498873015903,0.07174752915204838,0.2249826739440801,0.19619097554426213,562,75,RingSwarm,50,0.75,0.22789807717645605,8.431985832299418,0.291192626892636,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
22,2025-11-14T00:03:29.098674,2.1549341467299965,0.6834322779068553,4.850265472711715,2.4503324425256205,0.5312604580356827,0.047033847874179274,3.622748202280973,0.665207005322705,13.93833929312983,3.6591997965818086,0.6985328111728859,0.10609227409758831,0.146892017178508,0.22657099852886986,562,75,RingSwarm,50,0.75,1.4678140555509764,9.088073820418115,0.16727235313720323,0.09991111111111112,0.31608718909679195,0.36182000000000003,0.05015264300114203,0.353,0.5073499999999975,0.11436666675900127,0.015852607952005878,0.11157877775116755,0.1603668353882566,completed,
24,2025-11-14T00:39:01.314450,2.1716196170070803,0.42112914124607437,4.746986081374118,1.4762562407091975,0.5127175552419774,0.04026740155573637,2.4499150486139234,0.3708875815946404,7.4798255322333365,1.7474341961271183,0.4648485756434644,0.11465918799507858,0.25175091651510584,0.5646954458826792,562,75,RingSwarm,50,0.75,0.2782954316068431,2.7328394508592186,0.047868979598512995,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
26,2025-11-14T01:14:31.517419,2.861368546859838,0.39389767003905163,7.522708143006298,2.3693150743467655,0.657799817345003,0.07897829402147491,1.8117298199764043,0.3004753580709078,14.694889087360206,0.96679892013857,0.4052581495162375,0.11708453199058987,0.5175331192461858,0.4324668807538141,562,75,RingSwarm,50,0.75,1.0496387268834337,7.172180944353908,0.2525416678287655,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
28,2025-11-14T01:50:02.188194,3.741646968000123,0.36237668436187354,4.111852367769337,0.806182728152633,0.6233047602932822,0.10464683537543805,3.4710321307419276,0.33866922304751856,14.877130613908069,2.2225709067313915,0.5306968353681116,0.12357345878136092,0.4053032618763786,0.11503287997326148,562,75,RingSwarm,50,0.75,0.27061483725819535,10.765278246138731,0.09260792492517056,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
30,2025-11-14T02:25:31.068497,2.50937492384269,0.37275660474740646,3.4879348419904557,1.3957933683319423,0.5034364448934113,0.061355733274045296,1.3050641042044866,0.5865807093884923,12.905939650154483,2.0763932530245084,0.7240649841128449,0.13925469398421497,0.1779320671376235,0.13047822175947907,562,75,RingSwarm,50,0.75,1.2043108196382035,9.418004808164028,0.2206285392194336,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
32,2025-11-14T03:01:04.261412,2.8997819987400346,0.6648604292360869,5.611491793381038,2.0524634171545326,0.44157425302893966,0.11906883698764394,3.993886362367385,0.5345797601253437,8.04871902153605,3.6117900755027903,0.7943943271464927,0.05336726199789413,0.1571703455350455,0.5382403567198684,562,75,RingSwarm,50,0.75,1.0941043636273502,2.4372272281550114,0.35282007411755306,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
34,2025-11-14T03:36:34.280181,2.4782883871452746,0.7932668149435562,3.708384450590981,2.186352756413658,0.5749547301343427,0.11708082686519454,1.2247054850089094,0.5056195509064194,18.162701845966016,2.877071199690902,0.7694732805924188,0.10194585771163098,0.5190702962735656,0.37387765090952485,562,75,RingSwarm,50,0.75,1.2535829021363651,14.454317395375035,0.1945185504580761,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
36,2025-11-14T04:12:07.292306,3.849918899541038,0.23384015550708342,4.1322265916990695,0.9686504705506197,0.5437035150120896,0.06507914578961965,3.697196468776392,0.6669896081467528,15.749999554991353,2.9690357199470645,0.8172992829635486,0.03763848133315402,0.1002547172932178,0.39788303817660237,562,75,RingSwarm,50,0.75,0.15272243076464598,11.617772963292284,0.273595767951459,0.09991111111111112,0.31608718909679195,0.3559399999999999,0.02925263065093463,0.353,0.353,0.11250807408711211,0.009246381796140587,0.11157877775116755,0.11157877775116755,completed,
38,2025-11-14T04:47:39.720425,2.5584486332193457,0.7464309336384967,7.099871268260292,1.667163769365591,0.6696849470182196,0.05517052476523351,3.2542709215398915,0.6009964348513398,2.18039121190339,1.427108214003801,0.8267448372422065,0.0789623228005617,0.22254424452257432,0.23980692982542018,562,75,RingSwarm,50,0.75,0.6958222883205458,4.919480056356901,0.15705989022398692,0.09991111111111112,0.31608718909679195,0.353,0.0,0.353,0.353,0.11157877775116755,0.0,0.11157877775116755,0.11157877775116755,completed,
